iter	Passed	Remaining
565	165421	126842
566	165727	126560
567	166027	126274
568	166299	125967
569	166604	125684
570	166874	125374
571	167190	125100
572	167488	124812
573	167778	124518
574	168068	124224
575	168389	123953
576	168691	123667
577	168943	123346
578	169244	123060
579	169505	122745
580	169834	122479
581	170091	122162
582	170365	121856
583	170640	121552
584	170942	121267
585	171195	120946
586	171503	120666
587	171794	120372
588	172075	120073
589	172343	119764
590	172657	119487
591	172970	119209
592	173226	118892
593	173545	118618
594	173825	118317
595	174169	118061
596	174481	117782
597	174768	117486
598	175073	117203
599	175371	116914
600	175646	116610
601	175929	116311
602	176266	116049
603	176607	115789
604	176894	115492
605	177199	115209
606	177475	114905
607	177817	114645
608	178082	114335
609	178386	114050
610	178674	113755
611	178968	113463
612	179259	113170
613	179541	112871
614	179821	112571
615	180107	112274
616	180413	111991
617	180711	111701
618	181096	111466
619	181405	111183
620	181694	110889
621	181993	110600
622	182276	110302
623	182543	109994
624	182802	109681
625	183072	109375
626	183633	109243
627	184533	109309
628	184839	109022
629	185218	108779
630	185489	108471
631	185830	108204
632	186201	107955
633	186490	107658
634	186831	107391
635	187115	107091
636	187416	106800
637	187709	106505
638	188001	106210
639	188292	105914
640	188568	105610
641	188860	105314
642	189135	105010
643	189482	104744
644	189794	104460
645	190024	104131
646	190302	103827
647	190614	103543
648	190883	103236
649	191164	102934
650	191459	102640
651	191755	102348
652	192030	102043
653	192321	101747
654	192598	101445
655	192903	101156
656	193239	100884
657	193506	100576
658	193815	100289
659	194139	100011
660	194432	99716
661	194718	99418
662	194994	99114
663	195270	98811
664	195558	98514
665	195830	98209
666	196110	97908
667	196401	97612
668	196688	97315
669	196968	97014
670	197235	96707
671	197519	96408
672	197799	96107
673	198110	95822
674	198401	95526
675	198656	95213
676	198918	94905
677	199203	94606
678	199509	94318
679	199771	94010
680	200070	93718
681	200384	93434
682	200647	93126
683	200944	92833
684	201212	92528
685	201493	92228
686	201788	91935
687	202086	91644
688	202383	91351
689	202665	91052
690	202962	90760
691	203251	90464
692	203491	90146
693	203777	89850
694	204045	89545
695	204303	89236
696	204556	88924
697	204892	88649
698	205194	88359
699	205491	88067
700	205775	87770
701	206075	87479
702	206372	87187
703	206681	86900
704	206933	86589
705	207232	86298
706	207541	86010
707	207819	85710
708	208071	85400
709	208393	85118
710	208684	84823
711	208985	84533
712	209265	84234
713	209567	83944
714	209853	83647
715	210164	83361
716	210457	83067
717	210745	82771
718	210993	82460
719	211286	82166
720	211578	81872
721	211851	81571
722	212118	81268
723	212388	80965
724	212663	80665
725	212985	80382
726	213280	80090
727	213519	79776
728	213801	79479
729	214094	79185
730	214381	78889
731	214705	78608
732	215014	78320
733	215286	78019
734	215554	77716
735	215818	77413
736	216135	77128
737	216443	76840
738	216775	76560
739	217011	76247
740	217330	75962
