iter	TotalF1:average=Macro	MultiClass
388	0.5376939708	0.9311482757
389	0.5377485437	0.9311111871
390	0.5377683082	0.9310891024
391	0.5377662904	0.9310353831
392	0.5377343328	0.9309896124
393	0.5377927104	0.930952026
394	0.5377541568	0.9309020824
395	0.537809378	0.9308641542
396	0.5378121872	0.9308217034
397	0.5379423284	0.930752156
398	0.5378967305	0.9307068947
399	0.538034283	0.9306521464
400	0.5381051513	0.9305914252
401	0.5381091646	0.9305618421
402	0.5381323311	0.9305049546
403	0.5383049675	0.930454682
404	0.5384069725	0.9303893884
405	0.5382811358	0.9303316281
406	0.5382688955	0.9302777771
407	0.5382954286	0.9302180734
408	0.5383051596	0.9301701352
409	0.5383853118	0.9301379391
410	0.5382874678	0.9300753885
411	0.5383711628	0.9300187343
412	0.5383933022	0.9299483008
413	0.5384862408	0.9298906792
414	0.5386112091	0.9298356677
415	0.5386292029	0.9297789262
416	0.5386321673	0.9297221437
417	0.5387064326	0.9296325559
418	0.5387368068	0.9295840993
419	0.5388255971	0.9294974887
420	0.5386914574	0.9294330661
421	0.5388837297	0.9293697439
422	0.5388774347	0.9293038047
423	0.5388743465	0.929245007
424	0.5389269631	0.929199869
425	0.5390190819	0.9291594925
426	0.5390679487	0.9290776095
427	0.5389950348	0.9290216328
428	0.5390733427	0.9289815659
429	0.5389632589	0.9289235486
430	0.5390327392	0.9288611596
431	0.5389858217	0.9288330195
432	0.5389163091	0.9287760115
433	0.5389618345	0.9287212103
434	0.5390258754	0.9286766138
435	0.5390448752	0.9286090865
436	0.5390478115	0.928550863
437	0.5389974852	0.9284837696
438	0.539000117	0.928412449
439	0.5390395576	0.9283659908
440	0.5391258588	0.9283157452
441	0.5393187327	0.9282482671
442	0.5394176587	0.9282076674
443	0.5393920856	0.9281595745
444	0.5393635045	0.928105587
445	0.5394364271	0.9280509648
446	0.5395144769	0.9279726465
447	0.53953997	0.9279409693
448	0.5394101659	0.9278938417
449	0.5394780904	0.9278427347
450	0.5394825693	0.9277672761
451	0.5395640981	0.9277128069
452	0.5396517924	0.9276703641
453	0.539543477	0.9276104352
454	0.5395878705	0.9275588022
455	0.5397173854	0.9275052109
456	0.5397384621	0.9274594896
